iter	Passed	Remaining
716	83809	149969
717	83931	149860
718	84046	149741
719	84168	149633
720	84273	149494
721	84372	149346
722	84495	149239
723	84616	149130
724	84706	148966
725	84836	148872
726	84945	148741
727	85048	148600
728	85177	148504
729	85258	148326
730	85357	148179
731	85470	148054
732	85566	147902
733	85672	147767
734	85789	147651
735	85906	147534
736	86015	147405
737	86144	147309
738	86250	147174
739	86375	147071
740	86492	146955
741	86608	146838
742	86717	146708
743	86813	146555
744	86917	146418
745	87036	146305
746	87153	146189
747	87270	146072
748	87365	145919
749	87478	145797
750	87584	145663
751	87674	145502
752	87774	145357
753	87875	145216
754	87981	145082
755	88089	144950
756	88191	144810
757	88294	144672
758	88392	144525
759	88507	144407
760	88609	144266
761	88753	144195
762	88880	144096
763	89001	143986
764	89108	143855
765	89218	143728
766	89340	143619
767	89455	143502
768	89550	143350
769	89649	143205
770	89758	143077
771	89879	142968
772	90014	142881
773	90130	142765
774	90225	142614
775	90325	142471
776	90411	142307
777	90525	142187
778	90652	142088
779	91020	142365
780	91190	142332
781	91310	142220
782	91433	142113
783	91537	141976
784	91698	141928
785	91805	141796
786	91908	141658
787	92015	141527
788	92133	141410
789	92252	141298
790	92377	141193
791	92476	141049
792	92612	140962
793	92723	140837
794	92847	140730
795	92953	140597
796	93073	140485
797	93200	140384
798	93324	140279
799	93457	140185
800	93575	140071
801	93678	139933
802	93800	139824
803	93922	139715
804	94038	139597
805	94163	139492
806	94303	139409
807	94427	139304
808	94539	139179
809	94638	139036
810	94749	138911
811	94860	138786
812	94978	138671
813	95088	138544
814	95204	138426
815	95314	138299
816	95431	138182
817	95555	138077
818	95677	137967
819	95783	137834
820	95902	137721
821	96029	137618
822	96137	137488
823	96249	137365
824	96345	137220
825	96442	137074
826	96555	136952
827	96665	136826
828	96777	136702
829	96882	136569
830	96997	136449
831	97089	136298
832	97192	136162
833	97280	136006
834	97406	135902
835	97495	135747
836	97603	135619
837	97717	135498
838	97834	135382
839	97937	135246
840	98044	135117
841	98159	134999
842	98265	134866
843	98368	134732
844	98460	134581
845	98589	134482
846	98708	134368
847	98804	134224
848	98918	134105
849	99025	133976
850	99138	133854
851	99256	133740
852	99375	133627
853	99487	133504
854	99635	133429
855	99778	133349
856	99896	133233
857	100000	133101
858	100095	132955
859	100250	132890
860	100381	132792
861	100533	132722
862	100652	132609
863	100753	132472
864	100852	132331
865	100989	132242
866	101112	132134
867	101214	131999
868	101339	131892
869	101464	131786
870	101600	131696
871	101719	131582
872	101815	131438
873	101939	131331
874	102051	131209
875	102156	131078
876	102252	130934
877	102353	130798
878	102468	130679
879	102606	130590
880	102730	130482
881	102834	130349
882	102931	130209
883	103036	130077
884	103139	129944
885	103249	129819
886	103348	129680
887	103458	129555
888	103574	129439
889	103679	129307
890	103803	129201
891	103893	129051
892	103991	128912
893	104110	128798
894	104219	128673
895	104321	128538
896	104425	128407
897	104511	128253
898	104622	128129
899	104745	128022
900	104878	127925
901	105012	127831
902	105141	127729
903	105263	127620
904	105383	127507
905	105480	127368
906	105584	127236
907	105695	127114
908	105797	126980
909	105930	126883
910	106047	126768
911	106152	126637
912	106269	126522
913	106368	126385
914	106479	126262
915	106577	126124
916	106678	125989
917	106783	125860
918	106886	125728
919	106972	125576
920	107079	125449
921	107211	125350
922	107339	125248
923	107435	125109
924	107587	125034
925	107699	124912
926	107815	124796
927	107934	124683
928	108047	124562
929	108144	124423
930	108248	124293
931	108359	124171
932	108469	124048
933	108576	123921
934	108681	123792
935	108797	123675
936	108902	123547
937	109000	123409
938	109102	123278
939	109221	123164
940	109316	123025
941	109423	122897
942	109536	122778
943	109628	122635
944	109736	122510
945	109868	122412
946	110007	122320
947	110132	122214
948	110241	122090
949	110446	122072
950	110570	121964
951	110695	121858
952	110814	121745
953	110932	121630
954	111081	121550
955	111209	121446
956	111347	121353
957	111529	121308
958	111680	121229
959	111877	121200
960	112030	121123
961	112172	121034
962	112310	120940
963	112449	120848
964	112608	120777
965	112717	120652
966	112820	120521
967	112949	120417
968	113065	120299
969	113169	120169
970	113258	120024
971	113347	119877
972	113419	119714
973	113535	119596
974	113663	119492
975	113803	119400
976	113967	119332
977	114130	119265
978	114273	119176
979	114399	119069
980	114528	118964
981	114656	118859
982	114783	118753
983	114917	118654
984	115035	118539
985	115140	118409
986	115260	118296
987	115376	118179
988	115518	118088
989	115643	117979
990	115800	117903
991	115931	117801
992	116096	117733
993	116298	117702
994	116559	117731
995	116696	117633
996	116833	117536
997	116939	117408
998	117043	117277
999	117143	117143
1000	117252	117018
1001	117360	116891
1002	117485	116782
1003	117584	116647
1004	117714	116543
1005	117821	116415
1006	117919	116279
1007	118043	116169
1008	118144	116037
1009	118257	115916
1010	118367	115791
1011	118463	115654
1012	118544	115501
1013	118643	115367
1014	118739	115229
1015	118849	115106
1016	118941	114965
1017	119044	114834
1018	119145	114701
1019	119253	114576
1020	119375	114464
1021	119495	114350
1022	119611	114233
1023	119723	114111
1024	119831	113986
1025	119935	113856
1026	120047	113735
1027	120160	113614
1028	120282	113502
1029	120394	113381
1030	120489	113243
1031	120666	113183
1032	120933	113207
1033	121086	113123
1034	121240	113040
1035	121373	112938
1036	121513	112842
1037	121624	112719
1038	121746	112606
1039	121863	112489
1040	121965	112357
1041	122083	112241
1042	122207	112131
1043	122499	112174
1044	122658	112094
1045	122776	111977
1046	122886	111853
1047	123021	111751
1048	123150	111645
1049	123265	111525
1050	123398	111422
1051	123524	111312
1052	123653	111206
1053	123763	111081
1054	123861	110946
1055	123972	110823
1056	124106	110720
1057	124217	110597
1058	124321	110468
1059	124445	110357
1060	124559	110237
1061	124722	110159
1062	124836	110039
1063	124949	109918
1064	125061	109796
1065	125177	109677
1066	125281	109548
1067	125423	109451
1068	125542	109335
1069	125651	109211
1070	125780	109104
1071	125914	109000
1072	126043	108893
1073	126140	108758
1074	126272	108653
1075	126394	108539
1076	126516	108426
1077	126617	108294
1078	126721	108165
1079	126839	108048
1080	126945	107921
1081	127050	107793
1082	127179	107685
1083	127306	107576
1084	127427	107461
1085	127546	107345
1086	127664	107229
1087	127776	107106
1088	127903	106997
1089	128029	106887
1090	128156	106777
1091	128278	106663
1092	128377	106531
1093	128486	106406
1094	128601	106287
1095	128725	106174
1096	128853	106066
1097	128981	105957
1098	129088	105831
1099	129217	105723
1100	129318	105592
1101	129436	105475
1102	129553	105357
1103	129674	105243
1104	129789	105123
1105	129925	105020
1106	130014	104880
1107	130136	104767
1108	130238	104637
1109	130362	104524
1110	130474	104403
1111	130590	104284
1112	130714	104172
1113	130829	104052
1114	130940	103930
1115	131055	103811
1116	131160	103684
1117	131266	103557
1118	131398	103451
1119	131522	103339
1120	131648	103228
1121	131768	103113
1122	131871	102984
1123	131980	102860
1124	132118	102758
1125	132224	102632
1126	132319	102497
1127	132432	102376
1128	132543	102254
1129	132655	102133
1130	132773	102016
1131	132949	101943
1132	133060	101820
1133	133180	101706
1134	133287	101580
1135	133410	101466
1136	133522	101345
1137	133624	101216
1138	133734	101093
1139	133847	100972
1140	133967	100857
1141	134090	100744
1142	134206	100625
1143	134312	100499
1144	134420	100375
1145	134542	100260
1146	134641	100130
1147	134753	100008
1148	134865	99887
1149	134971	99761
1150	135102	99654
1151	135211	99530
1152	135325	99410
1153	135433	99286
1154	135547	99166
1155	135671	99053
1156	135754	98912
1157	135854	98781
1158	135988	98676
1159	136107	98560
1160	136213	98435
1161	136322	98311
1162	136434	98190
1163	136543	98067
1164	136664	97952
1165	136789	97840
1166	136906	97723
1167	137030	97610
1168	137164	97505
1169	137286	97391
1170	137410	97278
1171	137516	97153
1172	137633	97035
1173	137757	96922
1174	137892	96818
1175	138007	96699
1176	138127	96583
1177	138255	96474
1178	138372	96356
1179	138483	96234
1180	138599	96115
1181	138691	95981
1182	138804	95860
1183	138929	95749
1184	139037	95625
1185	139161	95511
1186	139264	95385
1187	139349	95245
1188	139456	95121
1189	139581	95009
1190	139688	94884
1191	139793	94759
1192	139924	94651
1193	140034	94529
1194	140153	94412
1195	140284	94304
1196	140408	94192
1197	140523	94073
1198	140660	93969
1199	140772	93848
1200	140881	93725
1201	141003	93611
1202	141116	93491
1203	141229	93370
1204	141349	93255
1205	141460	93133
1206	141578	93017
1207	141688	92895
1208	141804	92776
1209	141934	92668
1210	142040	92543
1211	142136	92411
1212	142250	92293
1213	142336	92155
1214	142450	92036
1215	142559	91913
1216	142672	91793
1217	142780	91669
1218	142891	91548
1219	142999	91425
1220	143106	91302
1221	143221	91183
1222	143343	91069
1223	143461	90952
1224	143555	90820
1225	143668	90701
1226	143781	90581
1227	143898	90464
1228	144009	90343
1229	144137	90232
1230	144251	90113
1231	144368	89996
1232	144490	89881
1233	144611	89767
1234	144729	89650
1235	144896	89563
1236	145013	89446
1237	145104	89312
1238	145224	89197
1239	145321	89068
1240	145436	88949
1241	145553	88832
1242	145673	88716
1243	145781	88594
1244	145887	88469
1245	145993	88346
1246	146145	88249
1247	146274	88139
1248	146395	88024
1249	146509	87905
1250	146619	87784
1251	146731	87663
1252	146842	87542
1253	146961	87426
1254	147070	87304
1255	147170	87177
1256	147290	87062
1257	147409	86945
1258	147514	86821
1259	147625	86700
1260	147734	86578
1261	147897	86488
1262	148016	86372
1263	148162	86271
1264	148278	86154
1265	148376	86025
1266	148496	85909
1267	148617	85794
1268	148736	85678
1269	148858	85564
1270	148987	85453
1271	149127	85349
1272	149242	85230
1273	149350	85108
1274	149470	84993
1275	149586	84874
1276	149714	84763
1277	149853	84658
1278	149950	84530
1279	150056	84406
1280	150174	84289
1281	150274	84163
1282	150396	84048
1283	150511	83930
1284	150622	83809
1285	150730	83686
1286	150846	83569
